	Data	List of sets
60114	кепка размер	{'10.10', '10.11.01'}
60115	коврик диэлектрический	{'10.11.01', '10.01', '10.10', '10.06', '10.08'}
60116	комбинезон защитный нейлоновый	{'10.10', '10.11.01'}
60117	комбинезон утепленный логотипом	{'10.10', '10.11.01'}
60118	комбинезон	{'10.10', '10.11.01', '10.02', '10.01'}
60119	кост утепл сигн соп	{'10.10', '10.11.01'}
60120	костюм	{'10.11.01', '10.11.02', '10.01', '10.09', '10.02', '10.10'}
60121	костюм диагональ	{'10.10', '10.11.01'}
60122	костюм защиты опз женский	{'10.10', '10.11.01'}
60123	костюм защиты опз мужской	{'10.10', '10.11.01'}
60124	костюм смешанных тканей	{'10.10', '10.11.01'}
60125	костюм опз итр муж спец	{'10.10', '10.11.01'}
60126	костюм логотипом	{'10.10', '10.11.01'}
60127	костюм автомастер куртка тёмно серый красным	{'10.10', '10.11.01'}
60128	костюм балтика куртка тёмно серый чёрным лог сварз	{'10.10', '10.11.01'}
60129	костюм балтика куртка тёмно синий васил лог сварз	{'10.10', '10.11.01'}
60130	костюм гранд летний куртка полукомбинзон синий васильковым	{'10.10', '10.11.01'}
60131	костюм профессионал куртка комб синий красным кантом	{'10.10', '10.11.01'}
60132	костюм рокон букса рыбац куртка комб оранжевый	{'10.10', '10.11.01'}
60133	костюм снежана женский куртка полукомбинзон синий васильковым	{'10.10', '10.11.01'}
60134	костюм специалист куртка кор брюки темно синий васил кантом лог сварз	{'10.10', '10.11.01'}
60135	костюм специалист куртка кор броки тёмно синий васил кантом лог сварз	{'10.10', '10.11.01'}
60136	костюм стандарт куртка брюки зелёный жёлтым лог сварз	{'10.10', '10.11.01'}
60137	костюм стандарт куртка брюки серый красным соп лог сварз	{'10.10', '10.11.01'}
60138	костюм стандарт куртка брюки темно синий васил соп лог сварз	{'10.10', '10.11.01'}
60139	костюм стандарт куртка брюки темно синий васил соп лог сварз	{'10.10', '10.11.01'}
60140	костюм стандарт куртка брюки темно синий васил лог сварз	{'10.10', '10.11.01'}
60141	костюм ударница жен куртка комб васильковый жёлтым кантом лог сварз	{'10.10', '10.11.01'}
60142	костюм ударница жен куртка комб тёмно синий красным кантом	{'10.10', '10.11.01'}
60143	костюм баргузин	{'10.10', '10.11.01'}
60144	костюм брез осталось дистан	{'10.10', '10.11.01'}
60145	костюм брез сварщика	{'10.10', '10.11.01'}
60146	костюм брезентовый	{'10.10', '10.11.01'}
60147	костюм буран зим	{'10.11.01'}
60148	костюм влагозащитный пвх	{'10.10', '10.11.01'}
60149	костюм защит опз	{'10.10', '10.11.01'}
60150	костюм защиты опз	{'10.10', '10.11.01'}
60151	костюм защиты опз	{'10.10', '10.11.01'}
60152	костюм защиты опз ткань хлопок полиэфир	{'10.10', '10.11.01'}
60153	костюм защ опз жен	{'10.11.01'}
60154	костюм защ опз жен	{'10.11.01'}
60155	костюм защ опз муж	{'10.11.01'}
60156	костюм защ опз муж	{'10.11.01'}
60157	костюм защиты муж полиэфир	{'10.10', '10.11.01'}
60158	костюм защиты опз	{'10.10', '10.11.01'}
60159	костюм защиты опз полиэмпер хлопок мужской	{'10.10', '10.11.01'}
60160	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60161	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60162	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60163	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60164	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60165	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60166	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60167	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60168	костюм защиты опз полиэспер хлопок женский	{'10.10', '10.11.01'}
60169	костюм защиты опз полиэспер хлопок мужской	{'10.10', '10.11.01'}
60170	костюм защиты опз полиэспер хлопок мужской	{'10.10', '10.11.01'}
60171	костюм защиты опз полиэспер хлопок мужской	{'10.10', '10.11.01'}
60172	костюм защиты опз полиэспер хлопок мужской	{'10.10', '10.11.01'}
60173	костюм защиты опз полиэспер хлопок мужской	{'10.10', '10.11.01'}
60174	костюм защиты опз полиэспер хлопок мужской	{'10.10', '10.11.01'}
60175	костюм защиты опз хлопок мужской	{'10.10', '10.11.01'}
60176	костюм защиты опз хлопок мужской	{'10.10', '10.11.01'}
60177	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60178	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60179	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60180	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60181	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60182	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60183	костюм защиты опз полиэстер хлопок мужской фссг	{'10.10', '10.11.01'}
60184	костюм защиты опз полиэстер хлопок мужской	{'10.10', '10.11.01'}
60185	костюм защиты опз полиэстер хлопок мужской	{'10.10', '10.11.01'}
60186	костюм защиты опз хлопок женский фссг	{'10.10', '10.11.01'}
60187	костюм защиты опз ткань хлопок муж	{'10.10', '10.11.01'}
60188	костюм сварщика	{'10.10', '10.11.01', '10.09'}
60189	костюм сварщика	{'10.10', '10.11.01', '10.09'}
60190	костюм жен мосгортранс защиты опз	{'10.10', '10.11.01'}
60191	костюм жен мосгортранс защиты опз мв_	{'10.10', '10.11.01'}
60192	костюм зимн метель	{'10.10', '10.11.01'}
60193	костюм смешанных тканей	{'10.10', '10.11.01'}
60194	костюм смешаных тканей кислозашитной пропиткой химогард	{'10.10', '10.11.01'}
60195	костюм контролера рост филевский	{'10.10', '10.11.01'}
60196	костюм контролера филевский	{'10.10', '10.11.01'}
60197	костюм	{'10.11.01', '10.11.02', '10.01', '10.09', '10.02', '10.10'}
60198	костюм летн сигн	{'10.10', '10.11.01'}
60199	костюм летний черный	{'10.10', '10.11.01'}
60200	костюм летний черный	{'10.10', '10.11.01'}
60201	костюм летний черный	{'10.10', '10.11.01'}
60202	костюм летний черный	{'10.10', '10.11.01'}
60203	костюм летний черный	{'10.10', '10.11.01'}
60204	костюм летний черный	{'10.10', '10.11.01'}
60205	костюм летний черный	{'10.10', '10.11.01'}
60206	костюм летний черный	{'10.10', '10.11.01'}
60207	костюм летний черный	{'10.10', '10.11.01'}
60208	костюм летний черный	{'10.10', '10.11.01'}
60209	костюм летний черный	{'10.10', '10.11.01'}
60210	костюм мосгорт защ опз фсс	{'10.11.01'}
60211	костюм мосгорт защ опз фсс	{'10.11.01'}
60212	костюм мосгорт защ опз фсс	{'10.11.01'}
60213	костюм мосгорт защ опз фсс	{'10.11.01'}
60214	костюм мосгорт защ опз фсс	{'10.11.01'}
60215	костюм мосгорт защ опз фсс	{'10.11.01'}
60216	костюм мосгорт защ опз мвж фсс	{'10.11.02', '10.11.01'}
60217	костюм мосгортранс защиты опз полиэстер хлопок	{'10.10', '10.11.01'}
60218	костюм мосгортранс защиты опз полиэстер хлопок жен	{'10.10', '10.11.01'}
60219	костюм мосгортранс защиты опз хлопок	{'10.10', '10.11.01'}
60220	костюм муж мосгортранс защиты опз	{'10.10', '10.11.01'}
60221	костюм муж мосгортранс защиты опз мв_	{'10.10', '10.11.01'}
60222	костюм муж сириус утепл	{'10.11.01'}
60223	костюм мужской дамаск куртка брюки abs	{'10.11.01'}
60224	костюм мужской дамаск куртка брюки рост	{'10.11.01'}
60225	костюм мужской зимник	{'10.10', '10.11.01'}
60226	костюм мужской сигнальный масловодоотталкивающей пропиткой класса защиты	{'10.10', '10.11.01'}
60227	костюм мужской защиты	{'10.10', '10.11.01'}
60228	костюм утепленной подкладке мужской	{'10.10', '10.11.01'}
60229	костюм утепляющей подкладке	{'10.10', '10.11.01'}
60230	костюм нейлон конкурса	{'10.10', '10.11.01'}
60231	костюм непромокаемый брайт	{'10.10', '10.11.01'}
60232	костюм огнестойкий куртка брюки молескин	{'10.10', '10.11.01'}
60233	костюм опз хлопчатобумажный куртка полукомбинезон муж инженер	{'10.10', '10.11.01', '10.02'}
60234	костюм опз хлопчатобумажный куртка полукомб женский мастерица	{'10.10', '10.11.01'}
60235	костюм опз смеш тканей куртка женский леди спец	{'10.10', '10.11.01'}
60236	костюм опз смешан тканей спец кур мужской	{'10.10', '10.11.01'}
60237	костюм опз смешанных тканей куртка брюки женский	{'10.10', '10.11.01'}
60238	костюм опз смешанных тканей куртка брюки мужской	{'10.10', '10.11.01'}
60239	костюм опз куртка брюки женский мастерица	{'10.10', '10.11.01'}
60240	костюм опз хлопчатобумажный куртка брюки муж ладога	{'10.10', '10.11.01'}
60241	костюм опз хлопчатобумажный куртка полукомбинезон мужской	{'10.10', '10.11.01'}
60242	костюм опз	{'10.10', '10.11.01', '10.02'}
60243	костюм охнана	{'10.10', '10.11.01'}
60244	костюм охрана рост	{'10.10', '10.11.01'}
60245	костюм охрана рост	{'10.10', '10.11.01'}
60246	костюм охрана рост депо апакова	{'10.10', '10.11.01'}
60247	костюм охрана рост депо апакова	{'10.10', '10.11.01'}
60248	костюм охрана	{'10.10', '10.11.01', '10.01'}
60249	костюм охрана	{'10.10', '10.11.01', '10.01'}
60250	костюм охрана	{'10.10', '10.11.01', '10.01'}
60251	костюм охрана	{'10.10', '10.11.01', '10.01'}
60252	костюм охрана рост	{'10.10', '10.11.01'}
60253	костюм охрана русакова	{'10.10', '10.11.01'}
60254	костюм охрана рост	{'10.10', '10.11.01'}
60255	костюм охрана русакова	{'10.10', '10.11.01'}
60256	костюм охрана русакова	{'10.10', '10.11.01'}
60257	костюм охрана	{'10.10', '10.11.01', '10.01'}
60258	костюм охрана	{'10.10', '10.11.01', '10.01'}
60259	костюм охрана русакова	{'10.10', '10.11.01'}
60260	костюм охрана рост	{'10.10', '10.11.01'}
60261	костюм охрана рост	{'10.10', '10.11.01'}
60262	костюм охрана рост	{'10.10', '10.11.01'}
60263	костюм охрана рост	{'10.10', '10.11.01'}
60264	костюм охрана рост	{'10.10', '10.11.01'}
60265	костюм охрана рост	{'10.10', '10.11.01'}
60266	костюм охрана размер рост	{'10.10', '10.11.01'}
60267	костюм охрана размер рост	{'10.10', '10.11.01'}
60268	костюм охрана размер рост	{'10.10', '10.11.01'}
60269	костюм охрана размер рост	{'10.10', '10.11.01'}
60270	костюм охрана размер	{'10.10', '10.11.01'}
60271	костюм охрана размер рост	{'10.10', '10.11.01'}
60272	костюм охрана размер рост депо баумана	{'10.10', '10.11.01'}
60273	костюм охрана размер	{'10.10', '10.11.01'}
60274	костюм охрана размер рост краснопр депо	{'10.10', '10.11.01'}
60275	костюм размер рост	{'10.10', '10.11.01'}
60276	костюм размер рост	{'10.10', '10.11.01'}
60277	костюм сварщика	{'10.10', '10.11.01', '10.09'}
60278	костюм сварщика	{'10.10', '10.11.01', '10.09'}
60279	костюм сварщика фсс	{'10.11.01'}
60280	костюм сварщика фсс	{'10.11.01'}
60281	костюм сварщика фсс	{'10.11.01'}
60282	костюм сварщика фсс	{'10.11.01'}
60283	костюм сварщика брезент	{'10.10', '10.11.01', '10.09'}
60284	костюм сварщика зимний зевс плюс	{'10.10', '10.11.01'}
60285	костюм сварщика зимний куртка брюки брез	{'10.10', '10.11.01'}
60286	костюм сварщика куртка брюки брез спилком	{'10.10', '10.11.01'}
60287	костюм сварщика летний	{'10.10', '10.11.01'}
60288	костюм сварщика летний зевс	{'10.10', '10.11.01'}
60289	костюм сигн	{'10.10', '10.11.01'}
60290	костюм сигн утепл	{'10.10', '10.11.01'}
60291	костюм сигн летн класс	{'10.10', '10.11.01'}
60292	костюм сигн утепл	{'10.10', '10.11.01'}
60293	костюм сигнальный	{'10.10', '10.11.01'}
60294	костюм сигнальный	{'10.10', '10.11.01'}
60295	костюм сигнальный класса защиты асфальт мастер	{'10.10', '10.11.01'}
60296	костюм сигнальный	{'10.10', '10.11.01'}
60297	костюм сигнальный утепленный спектрон класса защиты	{'10.10', '10.11.01'}
60298	костюм спортивный женский	{'10.10', '10.11.01'}
60299	костюм спортивный мужской	{'10.10', '10.11.01'}
60300	костюм спортивный мужской	{'10.10', '10.11.01'}
60301	костюм труд рабочий васил сер	{'10.10', '10.11.01'}
60302	костюм труд рабочий васил сер	{'10.10', '10.11.01'}
60303	костюм труд рабочий васил сер	{'10.10', '10.11.01'}
60304	костюм труд рабочий васил сер	{'10.10', '10.11.01'}
60305	костюм труд рабочий синий	{'10.10', '10.11.01'}
60306	костюм труд рабочий синий	{'10.10', '10.11.01'}
60307	костюм труд рабочий синий	{'10.10', '10.11.01'}
60308	костюм ультра утепл красно черный	{'10.10', '10.11.01'}
60309	костюм утеп труд	{'10.10', '10.11.01'}
60310	костюм утеп сигнальный	{'10.10', '10.11.01'}
60311	костюм утепл сигн	{'10.10', '10.11.01'}
60312	костюм утепл сигн	{'10.10', '10.11.01'}
60313	костюм утеплен отстегивающейся подкладкой	{'10.10', '10.11.01'}
60314	костюм утепленный	{'10.10', '10.11.01'}
60315	костюм утепленный	{'10.10', '10.11.01'}
60316	костюм утепленный	{'10.10', '10.11.01'}
60317	костюм утепленный	{'10.10', '10.11.01'}
60318	костюм утепленный	{'10.10', '10.11.01'}
60319	костюм утепленный	{'10.10', '10.11.01'}
60320	костюм утепленный сигн класс	{'10.10', '10.11.01'}
60321	костюм	{'10.11.01', '10.11.02', '10.01', '10.09', '10.02', '10.10'}
60322	костюм	{'10.11.01', '10.11.02', '10.01', '10.09', '10.02', '10.10'}
60323	костюм грета	{'10.10', '10.11.01'}
60324	костюм нефтяник	{'10.10', '10.11.01'}
60325	костюм соп	{'10.10', '10.11.01'}
60326	костюм сигнал	{'10.10', '10.11.01'}
60327	костюм мастер зим кур брюки тём синий	{'10.11.01'}
60328	костюм метель	{'10.11.01'}
60329	краги спилковые сварщика	{'10.10', '10.11.01', '10.01'}
60330	краги спилковые тип трэк красные	{'10.10', '10.11.01'}
60331	краги фсс	{'10.11.01'}
60332	крем регенирующий восстанавливающий туба	{'10.10', '10.11.01', '10.09'}
60333	крем гель паста очищающие особо устойчивых загр туба скинеа	{'10.10', '10.11.01'}
60334	куртка	{'10.10', '10.11.01', '10.02', '10.01'}
60335	куртка аляска удлин	{'10.11.01'}
60336	куртка ватная	{'10.10', '10.11.01'}
60337	куртка палат ткани смех вор	{'10.11.01'}
60338	куртка аляска васильковая лог сварз женская	{'10.10', '10.11.01'}
60339	куртка аляска тёмно синяя лог сварз мужская	{'10.10', '10.11.01'}
60340	куртка алабама контролер амосов	{'10.10', '10.11.01'}
60341	куртка алабама контролер сердобинцев	{'10.10', '10.11.01'}
60342	куртка алабама контролер шишенина	{'10.10', '10.11.01'}
60343	куртка алабама контролер власенко	{'10.10', '10.11.01'}
60344	куртка алабама контролер галенкова	{'10.10', '10.11.01'}
60345	куртка алабама контролер дгебуадзе	{'10.10', '10.11.01'}
60346	куртка алабама контролер иванова	{'10.10', '10.11.01'}
60347	куртка алабама контролер настаева	{'10.10', '10.11.01'}
60348	куртка алабама контролер сенин	{'10.10', '10.11.01'}
60349	куртка алабама контролер смоляков	{'10.10', '10.11.01'}
60350	куртка алабама контролер хабибулина	{'10.10', '10.11.01'}
60351	куртка буран зима контролер сердобинцев	{'10.10', '10.11.01'}
60352	куртка буран зима контролер шингарев	{'10.10', '10.11.01'}
60353	куртка гастарбайтер чёрная соп	{'10.10', '10.11.01'}
60354	куртка гастарбайтер чёрная соп лог сварз	{'10.10', '10.11.01'}
60355	куртка русская аляска	{'10.10', '10.11.01'}
60356	куртка север зимняя синяя лог гуп сварз	{'10.10', '10.11.01'}
60357	куртка	{'10.10', '10.11.01', '10.02', '10.01'}
60358	куртка алабама рост депо апакова	{'10.10', '10.11.01'}
60359	куртка алабама рост депо апакова	{'10.10', '10.11.01'}
60360	куртка алабама	{'10.10', '10.11.01'}
60361	куртка алабама русакова	{'10.10', '10.11.01'}
60362	куртка алабама русакова	{'10.10', '10.11.01'}
60363	куртка алабама размер рост	{'10.10', '10.11.01'}
60364	куртка алабама размер	{'10.10', '10.11.01'}
60365	куртка алабама размер	{'10.10', '10.11.01'}
60366	куртка алабама размер	{'10.10', '10.11.01'}
60367	куртка буран рост	{'10.10', '10.11.01'}
60368	куртка буран рост	{'10.10', '10.11.01'}
60369	куртка буран рост	{'10.10', '10.11.01'}
60370	куртка буран рост	{'10.10', '10.11.01'}
60371	куртка буран	{'10.10', '10.11.01'}
60372	куртка буран рост	{'10.10', '10.11.01'}
60373	куртка буран	{'10.10', '10.11.01'}
60374	куртка буран рост	{'10.10', '10.11.01'}
60375	куртка буран русакова	{'10.10', '10.11.01'}
60376	куртка буран рост	{'10.10', '10.11.01'}
60377	куртка буран рост	{'10.10', '10.11.01'}
60378	куртка буран русакова	{'10.10', '10.11.01'}
60379	куртка буран рост	{'10.10', '10.11.01'}
60380	куртка буран русакова	{'10.10', '10.11.01'}
60381	куртка буран русакова	{'10.10', '10.11.01'}
60382	куртка буран рост	{'10.10', '10.11.01'}
60383	куртка буран рост	{'10.10', '10.11.01'}
60384	куртка буран рост	{'10.10', '10.11.01'}
60385	куртка буран рост	{'10.10', '10.11.01'}
60386	куртка буран рост	{'10.10', '10.11.01'}
60387	куртка буран рост	{'10.10', '10.11.01'}
60388	куртка буран рост	{'10.10', '10.11.01'}
60389	куртка буран размер рост	{'10.10', '10.11.01'}
60390	куртка буран размер рост	{'10.10', '10.11.01'}
60391	куртка буран размер рост	{'10.10', '10.11.01'}
60392	куртка ватная	{'10.10', '10.11.01'}
60393	куртка ветровка	{'10.10', '10.11.01'}
60394	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60395	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60396	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60397	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60398	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60399	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60400	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60401	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60402	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60403	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60404	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60405	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60406	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60407	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60408	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60409	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60410	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60411	куртка демисезонная	{'10.10', '10.11.01', '10.01'}
60412	куртка контролеров	{'10.10', '10.11.01'}
60413	куртка контролеров	{'10.10', '10.11.01'}
60414	куртка дон утепл синяя	{'10.10', '10.11.01'}
60415	куртка дон утепл синяя	{'10.10', '10.11.01'}
60416	куртка дон утепл синяя	{'10.10', '10.11.01'}
60417	куртка женская	{'10.10', '10.11.01'}
60418	куртка женская утепленной подкладке	{'10.10', '10.11.01'}
60419	куртка зимняя	{'10.10', '10.11.01'}
60420	куртка зимняя защиты пон темп жен	{'10.10', '10.11.01'}
60421	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60422	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60423	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60424	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60425	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60426	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60427	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60428	куртка зимняя защиты пон темп муж	{'10.10', '10.11.01'}
60429	куртка зимняя контролеров контролер хабибулина	{'10.10', '10.11.01'}
60430	куртка зимняя контролеров	{'10.10', '10.11.01'}
60431	куртка зимняя контролеров	{'10.10', '10.11.01'}
60432	куртка зимняя защиты	{'10.10', '10.11.01'}
60433	куртка зимняя защиты пониженных температур опз мужская	{'10.10', '10.11.01'}
60434	куртка зимняя защиты пониженных температур опз мужская	{'10.10', '10.11.01'}
60435	куртка зимняя защиты пониженных температур опз женская	{'10.10', '10.11.01'}
60436	куртка зимняя защиты пониженных температур опз мужская	{'10.10', '10.11.01'}
60437	куртка зимняя защиты пониженных температур опз мужская фсс	{'10.10', '10.11.01'}
60438	куртка зимняя защиты пониженных температур опз мужская фсс	{'10.10', '10.11.01'}
60439	куртка зимняя защиты пониженных температур опз мужская фсс	{'10.10', '10.11.01'}
60440	куртка зимняя защиты пониженных температур опз мужская фсс	{'10.10', '10.11.01'}
60441	куртка зимняя защиты пониженных температур опз мужская фсс	{'10.10', '10.11.01'}
60442	куртка зимняя защиты пониженных температур опз мужская фсс	{'10.10', '10.11.01'}
60443	куртка зимняя женская	{'10.10', '10.11.01'}
60444	куртка зимняя мосгортранс жен фсс	{'10.11.01'}
60445	куртка зимняя мосгортранс жен фсс	{'10.11.01'}
60446	куртка зимняя мосгортранс женская	{'10.10', '10.11.01'}
60447	куртка зимняя мосгортранс женская	{'10.10', '10.11.01'}
60448	куртка зимняя мосгортранс женская	{'10.10', '10.11.01'}
60449	куртка зимняя мосгортранс женская	{'10.10', '10.11.01'}
60450	куртка зимняя мосгортранс женская	{'10.10', '10.11.01'}
60451	куртка зимняя мосгортранс женская	{'10.10', '10.11.01'}
60452	куртка зимняя мосгортранс муж фсс	{'10.11.01'}
60453	куртка зимняя мосгортранс муж фсс	{'10.11.01'}
60454	куртка зимняя мосгортранс	{'10.10', '10.11.01'}
60455	куртка зимняя мужская	{'10.10', '10.11.01'}
60456	куртка зимняя мужская	{'10.10', '10.11.01'}
60457	куртка зимняя мужская защиты	{'10.10', '10.11.01'}
60458	куртка зимняя размер рост	{'10.10', '10.11.01'}
60459	куртка зимняя размер рост	{'10.10', '10.11.01'}
60460	куртка зимняя размер рост	{'10.10', '10.11.01'}
60461	куртка зимняя размер рост	{'10.10', '10.11.01'}
60462	куртка зимняя размер рост	{'10.10', '10.11.01'}
60463	куртка зимняя размер рост	{'10.10', '10.11.01'}
60464	куртка зимняя размер рост	{'10.10', '10.11.01'}
60465	куртка марс утепл черно красная	{'10.10', '10.11.01'}
60466	куртка марс утеплен черно красная	{'10.11.01'}
60467	куртка метелица	{'10.11.01'}
60468	куртка мужск зимн	{'10.10', '10.11.01'}
60469	куртка мужская	{'10.10', '10.11.01'}
60470	куртка мужская утепленной подкладке	{'10.10', '10.11.01'}
60471	куртка мужская утепленная логотипом	{'10.10', '10.11.01'}
60472	куртка мужская_	{'10.10', '10.11.01'}
60473	куртка утепляющей прокладке	{'10.10', '10.11.01'}
60474	куртка утепляющей прокладке женская итр леди спец	{'10.10', '10.11.01'}
60475	куртка утепляющей прокладке женская леди спец	{'10.10', '10.11.01'}
60476	куртка утепляющей прокладке муж итр спец	{'10.10', '10.11.01'}
60477	куртка утепляющей прокладке муж спец	{'10.10', '10.11.01'}
60478	куртка утепляющей прокладке мужская	{'10.10', '10.11.01'}
60479	куртка непромок утепл	{'10.10', '10.11.01'}
60480	куртка непромок утепл	{'10.10', '10.11.01'}
60481	куртка непромок утепл рост	{'10.10', '10.11.01'}
60482	куртка непромок утепл	{'10.10', '10.11.01'}
60483	куртка непромок утепл	{'10.10', '10.11.01'}
60484	куртка непромок утепл	{'10.10', '10.11.01'}
60485	куртка непромок утепл	{'10.10', '10.11.01'}
60486	куртка непромок утепл	{'10.10', '10.11.01'}
60487	куртка непромок утепл размер депо баумана	{'10.10', '10.11.01'}
60488	куртка непромок утепл размер депо баумана	{'10.10', '10.11.01'}
60489	куртка осенняя размер рост	{'10.10', '10.11.01'}
60490	куртка повседневная женская темно синяя	{'10.10', '10.11.01'}
60491	куртка повседневная мужская темно синяя	{'10.10', '10.11.01'}
60492	куртка повседневная черная	{'10.10', '10.11.01'}
60493	куртка полюс контролер салахетдинов	{'10.10', '10.11.01'}
60494	куртка полюс контролер салахетдинова	{'10.10', '10.11.01'}
60495	куртка полюс контролер старчоус	{'10.10', '10.11.01'}
60496	куртка полюс рост	{'10.10', '10.11.01'}
60497	куртка полюс рост	{'10.10', '10.11.01'}
60498	куртка полюс рост	{'10.10', '10.11.01'}
60499	куртка полюс рост	{'10.10', '10.11.01'}
60500	куртка полюс размер депо баумана	{'10.10', '10.11.01'}
60501	куртка полюс размер рост	{'10.10', '10.11.01'}
60502	куртка полюс размер	{'10.10', '10.11.01'}
60503	куртка полюс размер депо баумана	{'10.10', '10.11.01'}
60504	куртка сорочка	{'10.10', '10.11.01'}
60505	куртка сорочка размер	{'10.10', '10.11.01'}
60506	куртка сорочка размер	{'10.10', '10.11.01'}
60507	куртка ультра утепл красная	{'10.10', '10.11.01'}
60508	куртка ультра утепл красная	{'10.10', '10.11.01'}
60509	куртка утепл син	{'10.10', '10.11.01'}
60510	куртка утепл син	{'10.10', '10.11.01'}
60511	куртка утепленная	{'10.10', '10.11.01'}
60512	куртка утепленная	{'10.10', '10.11.01'}
60513	куртка утепленная мужская	{'10.10', '10.11.01'}
60514	куртка утепленная брюки	{'10.11.01'}
60515	куртка утепленная рост	{'10.10', '10.11.01'}
60516	куртка утепленная рост	{'10.10', '10.11.01'}
60517	куртка утепленная рост	{'10.10', '10.11.01'}
60518	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60519	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60520	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60521	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60522	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60523	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60524	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60525	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60526	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60527	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60528	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60529	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60530	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60531	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60532	куртка утепленная остальных специалистов	{'10.10', '10.11.01'}
60533	куртка утепленная руководителей	{'10.10', '10.11.01'}
60534	куртка антистат огнезащит утепл спец антистат	{'10.10', '10.11.01'}
60535	куртка эксперт утеп логотип	{'10.11.01'}
60536	куртка ветровка штормовка	{'10.10', '10.11.01'}
60537	куртка сорочка контролера	{'10.10', '10.11.01'}
60538	куртка сорочка	{'10.10', '10.11.01'}
60539	куртка сорочка контролера	{'10.10', '10.11.01'}
60540	куртка вега синяя васильковым	{'10.10', '10.11.01'}
60541	куртка вега синяя васильковым лог сварз	{'10.10', '10.11.01'}
60542	куртка карелия женская тём синяя васильком	{'10.10', '10.11.01'}
60543	куртка фристайл женская синяя голубым	{'10.10', '10.11.01'}
60544	логотип краснопр депо	{'10.10', '10.11.01'}
60545	майка игровая	{'10.10', '10.11.01'}
60546	манишка спортивная	{'10.10', '10.11.01'}
60547	маска корунд синяя	{'10.10', '10.11.01'}
60548	мыло туалетное цветы	{'10.11.01', '10.06', '10.09'}
60549	нарукавники прорез	{'10.10', '10.11.01'}
60550	наушники сомз	{'10.10', '10.11.01'}
60551	нашивка	{'10.10', '10.11.01'}
60552	нашивка	{'10.10', '10.11.01'}
60553	нашивка	{'10.10', '10.11.01'}
60554	нашивка контролеров русакова	{'10.10', '10.11.01'}
60555	обувь мужская бега	{'10.11.01'}
